rho,phi,yaw_rotation,image_path
8.178631,-80,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-80_yaw_45.png
8.178631,-80,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-80_yaw_-60.png
8.178631,-80,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-80_yaw_60.png
8.178631,-80,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-80_yaw_-90.png
8.178631,-80,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-80_yaw_90.png
8.178631,-70,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-70_yaw_0.png
8.178631,-70,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-70_yaw_-30.png
8.178631,-70,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-70_yaw_30.png
8.178631,-70,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-70_yaw_-45.png
8.178631,-70,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-70_yaw_45.png
8.178631,-70,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-70_yaw_-60.png
8.178631,-70,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-70_yaw_60.png
8.178631,-70,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-70_yaw_-90.png
8.178631,-70,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-70_yaw_90.png
8.178631,-60,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-60_yaw_0.png
8.178631,-60,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-60_yaw_-30.png
8.178631,-60,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-60_yaw_30.png
8.178631,-60,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-60_yaw_-45.png
8.178631,-60,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-60_yaw_45.png
8.178631,-60,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-60_yaw_-60.png
8.178631,-60,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-60_yaw_60.png
8.178631,-60,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-60_yaw_-90.png
8.178631,-60,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-60_yaw_90.png
8.178631,-50,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-50_yaw_0.png
8.178631,-50,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-50_yaw_-30.png
8.178631,-50,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-50_yaw_30.png
8.178631,-50,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-50_yaw_-45.png
8.178631,-50,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-50_yaw_45.png
8.178631,-50,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-50_yaw_-60.png
8.178631,-50,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-50_yaw_60.png
8.178631,-50,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-50_yaw_-90.png
8.178631,-50,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-50_yaw_90.png
8.178631,-40,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-40_yaw_0.png
8.178631,-40,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-40_yaw_-30.png
8.178631,-40,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-40_yaw_30.png
8.178631,-40,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-40_yaw_-45.png
8.178631,-40,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-40_yaw_45.png
8.178631,-40,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-40_yaw_-60.png
8.178631,-40,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-40_yaw_60.png
8.178631,-40,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-40_yaw_-90.png
8.178631,-40,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-40_yaw_90.png
8.178631,-30,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-30_yaw_0.png
8.178631,-30,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-30_yaw_-30.png
8.178631,-30,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-30_yaw_30.png
8.178631,-30,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-30_yaw_-45.png
8.178631,-30,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-30_yaw_45.png
8.178631,-30,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-30_yaw_-60.png
8.178631,-30,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-30_yaw_60.png
8.178631,-30,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-30_yaw_-90.png
8.178631,-30,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-30_yaw_90.png
8.178631,-20,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-20_yaw_0.png
8.178631,-20,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-20_yaw_-30.png
8.178631,-20,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-20_yaw_30.png
8.178631,-20,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-20_yaw_-45.png
8.178631,-20,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-20_yaw_45.png
8.178631,-20,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-20_yaw_-60.png
8.178631,-20,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-20_yaw_60.png
8.178631,-20,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-20_yaw_-90.png
8.178631,-20,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-20_yaw_90.png
8.178631,-10,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-10_yaw_0.png
8.178631,-10,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-10_yaw_-30.png
8.178631,-10,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-10_yaw_30.png
8.178631,-10,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-10_yaw_-45.png
8.178631,-10,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-10_yaw_45.png
8.178631,-10,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-10_yaw_-60.png
8.178631,-10,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-10_yaw_60.png
8.178631,-10,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-10_yaw_-90.png
8.178631,-10,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-10_yaw_90.png
8.178631,2.504478E-06,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_2_504478E-06_yaw_0.png
8.178631,2.504478E-06,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_2_504478E-06_yaw_-30.png
8.178631,2.504478E-06,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_2_504478E-06_yaw_30.png
8.178631,2.504478E-06,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_2_504478E-06_yaw_-45.png
8.178631,2.504478E-06,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_2_504478E-06_yaw_45.png
8.178631,2.504478E-06,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_2_504478E-06_yaw_-60.png
8.178631,2.504478E-06,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_2_504478E-06_yaw_60.png
8.178631,2.504478E-06,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_2_504478E-06_yaw_-90.png
8.178631,2.504478E-06,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_2_504478E-06_yaw_90.png
8.178631,10,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_10_yaw_0.png
8.178631,10,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_10_yaw_-30.png
8.178631,10,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_10_yaw_30.png
8.178631,10,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_10_yaw_-45.png
8.178631,10,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_10_yaw_45.png
8.178631,10,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_10_yaw_-60.png
8.178631,10,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_10_yaw_60.png
8.178631,10,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_10_yaw_-90.png
8.178631,10,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_10_yaw_90.png
8.178631,20,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_20_yaw_0.png
8.178631,20,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_20_yaw_-30.png
8.178631,20,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_20_yaw_30.png
8.178631,20,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_20_yaw_-45.png
8.178631,20,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_20_yaw_45.png
8.178631,20,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_20_yaw_-60.png
8.178631,20,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_20_yaw_60.png
8.178631,20,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_20_yaw_-90.png
8.178631,20,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_20_yaw_90.png
8.178631,30,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_30_yaw_0.png
8.178631,30,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_30_yaw_-30.png
8.178631,30,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_30_yaw_30.png
8.178631,30,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_30_yaw_-45.png
8.178631,30,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_30_yaw_45.png
8.178631,30,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_30_yaw_-60.png
8.178631,30,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_30_yaw_60.png
8.178631,30,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_30_yaw_-90.png
8.178631,30,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_30_yaw_90.png
8.178631,40,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_40_yaw_0.png
8.178631,40,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_40_yaw_-30.png
8.178631,40,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_40_yaw_30.png
8.178631,40,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_40_yaw_-45.png
8.178631,40,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_40_yaw_45.png
8.178631,40,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_40_yaw_-60.png
8.178631,40,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_40_yaw_60.png
8.178631,40,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_40_yaw_-90.png
8.178631,40,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_40_yaw_90.png
8.178631,50,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_50_yaw_0.png
8.178631,50,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_50_yaw_-30.png
8.178631,50,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_50_yaw_30.png
8.178631,50,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_50_yaw_-45.png
8.178631,50,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_50_yaw_45.png
8.178631,50,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_50_yaw_-60.png
8.178631,50,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_50_yaw_60.png
8.178631,50,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_50_yaw_-90.png
8.178631,50,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_50_yaw_90.png
8.178631,60,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_60_yaw_0.png
8.178631,60,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_60_yaw_-30.png
8.178631,60,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_60_yaw_30.png
8.178631,60,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_60_yaw_-45.png
8.178631,60,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_60_yaw_45.png
8.178631,60,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_60_yaw_-60.png
8.178631,60,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_60_yaw_60.png
8.178631,60,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_60_yaw_-90.png
8.178631,60,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_60_yaw_90.png
8.178631,69.99999,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_69_99999_yaw_0.png
8.178631,69.99999,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_69_99999_yaw_-30.png
8.178631,69.99999,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_69_99999_yaw_30.png
8.178631,69.99999,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_69_99999_yaw_-45.png
8.178631,69.99999,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_69_99999_yaw_45.png
8.178631,69.99999,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_69_99999_yaw_-60.png
8.178631,69.99999,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_69_99999_yaw_60.png
8.178631,69.99999,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_69_99999_yaw_-90.png
8.178631,69.99999,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_69_99999_yaw_90.png
8.178631,79.99999,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_79_99999_yaw_0.png
8.178631,79.99999,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_79_99999_yaw_-30.png
8.178631,79.99999,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_79_99999_yaw_30.png
8.178631,79.99999,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_79_99999_yaw_-45.png
8.178631,79.99999,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_79_99999_yaw_45.png
8.178631,79.99999,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_79_99999_yaw_-60.png
8.178631,79.99999,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_79_99999_yaw_60.png
8.178631,79.99999,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_79_99999_yaw_-90.png
8.178631,79.99999,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_79_99999_yaw_90.png
8.178631,90,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_90_yaw_0.png
8.178631,90,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_90_yaw_-30.png
8.178631,90,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_90_yaw_30.png
8.178631,90,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_90_yaw_-45.png
8.178631,90,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_90_yaw_45.png
8.178631,90,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_90_yaw_-60.png
8.178631,90,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_90_yaw_60.png
8.178631,90,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_90_yaw_-90.png
8.178631,90,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_90_yaw_90.png
8.178631,100,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_100_yaw_0.png
8.178631,100,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_100_yaw_-30.png
8.178631,100,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_100_yaw_30.png
8.178631,100,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_100_yaw_-45.png
8.178631,100,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_100_yaw_45.png
